group	gt_connection	model_output
['Erie', 'Grand', 'Suez', 'Herengracht']	Canals	Canals 
['Line', 'Plum', 'Beckham', 'Falls']	Victoria ___	Rhyme 
['Knees', 'Bike', 'Last legs', 'Marks']	On your ___	Body parts 
['Tattoo', 'Invisible', 'Indian', 'Squid']	Types of ink	Ink 
['Shadow', 'String', 'Rod', 'Finger']	Types of puppet	Body parts 
['Globe', 'Apollo', 'Duchess', 'Adelphi']	London theaters	Royal residences 
['Rangoon', 'Salisbury', 'Tananarive', 'Port Natal']	Former colonial names for cities	Cities 
['Wake', 'Chester', 'Hat', 'Mans']	English towns called ___field	Names 
['Fetish', 'Albino', 'Vindaloo', 'Palaver']	From Portuguese	Sexual 
['Cheat', 'Carry on', 'Play away', 'Two-time']	Be unfaithful	Cheating 
['Roger', 'The Mule', 'Ming', 'Paul']	Extraterrestrials	Rock stars 
['Pratt', 'Windsor', 'Oriental', 'Four-in-hand']	Necktie knots	Suit types 
['Zipper', 'Contra', 'Cherie', 'Squidgy']	___gate scandals	Slang 
['Daisy', 'Dewey', 'Donald', 'Louie']	Disney ducks	Disney 
['Attica', 'Rikers', 'San Quentin', 'Marion']	US prisons	Prisons 
['Biting', 'Crisp', 'Snell', 'Rimy']	Cold conditions	Edge 
['Thiem', 'Wurst', 'Doppler', 'Waltz']	Famous Austrians	Music 
['Socrates', 'Leonardo', 'Didi', 'Cafu']	Brazilian international footballers	Famous people 
['Wedge', 'Pump', 'Mule', 'Brogue']	Types of shoe	Footwear 
['The Fat', 'Rubber', 'Milkshake', 'Peking']	____ Duck	Food 
['Grand Canyon', 'Keystone', 'Bluegrass', 'Silver']	Official nicknames of US states	States 
['Drive', 'The Great Beyond', 'Stand', 'Man on the Moon']	REM singles	Space 
['Ban', 'Piano', 'Hadid', 'Goldfinger']	Famous architects	Musical instruments 
['Platoon', 'Corps', 'Battery', 'Cohort']	Military units	Military units 
['Sandman', 'Brightside', 'Vain', 'Bojangles']	"""Mr"" songs"	Band names 
['Thinker', 'Gates of Hell', 'Martyr', 'Walking Man']	Rodin sculptures	Art 
['Doctor', 'Hazel', 'Hunt', 'Craft']	Witch ___	Occupations 
['Ramsay', 'Banks', 'Burn', 'Brown']	Famous people called Gordon	Last Names 
['Beano', 'Session', 'Binge', 'Bender']	Drinking sprees	Comics 
['Challenger', 'Langdon', 'Van Helsing', 'Frink']	Fictional professors	Fictional characters 
['Wink', 'Bomb', 'Squidger', 'Tiddlies']	Tiddlywinks terminology	Nonsense words 
['Mud', 'Blackberry', 'Rabbit', 'Eskimo']	Types of pie	Arctic 
['Tangled', 'Mulan', 'Cinderella', 'Fantasia']	Disney animations	Disney 
['Brittany', 'Munsterlander', 'Italian spinone', 'Pointer']	Gun dogs	Dog breeds 
['Kim', 'Captains Courageous', 'If', 'Gunga Din']	Works by Rudyard Kipling	Authors 
['Level', 'Maroon', 'Sham', 'Heaven']	Bands without their numbers	Spiritual 
['Graupel', 'Saturns rings', 'Cresta Run', 'Granita']	Made of ice	Snow formations 
['Bennett', 'Winter', 'Poll', 'Dean']	Premiership football referees	Last names 
