group	gt_connection	model_output
['DEA', 'ATF', 'CIA', 'IRS']	US government agencies	Federal agencies in the US. 
['12', 'Cuba', 'Carbon', 'MI6 Chief']	C	James Bond villains 
['Saints', 'Hallows', 'Present and correct', 'Square']	All __	The Saints' names in the Bible. 
['Celtic', 'Greek', 'Lorraine', 'Calvary']	Types of cross	Names of the same people. 
['Decree', 'Junta', 'Janitor', 'Octopus']	Words with abbreviated month at start	People who clean up after a party. 
['Sebastian', 'Prince Eric', 'Flounder', 'Scuttle']	Characters from The Little Mermaid	Disney characters in The Little Mermaid 
['Streak', 'Velvet', 'Thunder', 'Jasmine']	Blue ____ films	Brownies 
['Gone Girl', 'Fight Club', 'Zodiac', 'Panic Room']	David Fincher films	David Fincher films 
['Flashing', 'Dormer', 'Gable', 'Eaves']	Roofing terminology	Roof types 
['Centurion', 'Tiger', 'Abrams', 'Merkava']	Military tanks	Armoured tanks 
['Cross', 'Fist', 'Lady', 'Duke']	Iron ____	The Queen's Gambit 
['Brigade', 'Hose', 'Guard', 'Escape']	Fire ___	London Underground stations 
['Connor', 'James', 'Dale', 'Jacques']	Carry On actors	First names of people who have been Prime Ministers of the UK. 
['State', 'Department', 'Hundred', 'Riding']	Subnational divisions	Horse racing terms 
['Grandee', 'Provost', 'Reeve', 'Nazim']	Local dignitaries	Former mayors of London. 
['Bat', 'Helmet', 'Pads', 'Gloves']	Cricket equipment	Cricket equipment 
['Highlight', 'Ombré', 'Balayage', 'Dip']	Hair colouring techniques	Hair colouring techniques 
['Tornado', 'Iron Duke', 'City of Truro', 'Mallard']	Steam engines	Birds of a feather flock together 
['Croft', 'Simon', 'Mamet', 'Lean']	Screenwriters named David	"Directors of the film ""The Last Temptation of Christ"" "
['Hawk', 'Cheeryble', 'Gride', 'Squeers']	Nicholas Nickleby characters	"Characters in the ""The Adventures of Sherlock Holmes"" "
['Bikini', 'Stethoscope', 'Daguerrotypes', 'Braille']	Invented by Frenchmen	Medical instruments used by women. 
['Prince', 'Fire', 'Stone', 'Phoenix']	Last words of Harry Potter book titles	Birds of prey 
['Forsyth', 'Edmonds', 'Holmes', 'Parsons']	Quiz show hosts	Famous detectives in the UK. 
['Dirndl', 'Hobble', 'Pencil', 'Prairie']	Skirts	Grass skirts 
['Piloti', 'Pilaster', 'Stanchion', 'Caryatid']	Architectural supports	Greek architectural elements 
['Vaux', 'Flowers', 'Bass', 'Castle']	British breweries	London Underground stations 
['Fanny', 'Maria', 'Fairfax', 'Officer Crabtree']	Characters in Allo Allo	"Characters in the film ""The Importance of Being Earnest"" "
['Bolt', 'Cream', 'Mask', 'Test']	Eye ___	"The names of the characters in the film ""The Mask"" "
['Douglas', 'Castletown', 'Ramsey', 'Peel']	Towns on the Isle of Man	Isle of Man towns 
['Police', 'Doors', 'Band', 'Clash']	"Bands called ""The ___"""	Police, Doors, Band, Clash – Connection: The Clash
['Ricochet', 'Déjà Vu', 'Malcolm X', 'Inside Man']	Denzel Washington films	Films directed by Spike Lee 
['Avid', 'Uke', 'Liver', 'Ames']	Boys names missing a letter	Boys names missing a letter 
['Standby', 'Swing', 'Cover', 'Alternate']	Understudies	Versions of a song 
['Murphy', 'Parkinson', 'Gresham', 'Sturgeon']	Names of humorous laws	Famous people with a surname that is also a type of fish. 
['Hook', 'Bolo', 'Jab', 'Cross']	Punches	Boxing moves 
['Bangla', 'Lal Toofan', 'Cobra', 'Kingfisher']	"""Indian"" beers"	Indian beer brands 
['The Machine', 'The Magic Roundabout', 'Nightingale', 'Michelangelos David']	Florence	Sculptures of the same artist 
['Blue', 'Well done', 'Medium', 'Rare']	Meat cooking times	Beef doneness levels 
['Erie', 'Grand', 'Suez', 'Herengracht']	Canals	Canals in Amsterdam 
['Line', 'Plum', 'Beckham', 'Falls']	Victoria ___	People who have been in the news for falling over. 
['Knees', 'Bike', 'Last legs', 'Marks']	On your ___	Parts of a bicycle 
['Tattoo', 'Invisible', 'Indian', 'Squid']	Types of ink	Ink-based creatures 
['Shadow', 'String', 'Rod', 'Finger']	Types of puppet	Parts of a puppet. 
['Globe', 'Apollo', 'Duchess', 'Adelphi']	London theaters	London Underground stations 
['Rangoon', 'Salisbury', 'Tananarive', 'Port Natal']	Former colonial names for cities	Towns in South Africa 
['Wake', 'Chester', 'Hat', 'Mans']	English towns called ___field	Chesterfield hats 
['Fetish', 'Albino', 'Vindaloo', 'Palaver']	From Portuguese	"Indian dishes with a ""hot"" element. "
['Cheat', 'Carry on', 'Play away', 'Two-time']	Be unfaithful	Cheat on a partner 
['Roger', 'The Mule', 'Ming', 'Paul']	Extraterrestrials	The Beatles' albums 
['Pratt', 'Windsor', 'Oriental', 'Four-in-hand']	Necktie knots	Suits of cards 
['Zipper', 'Contra', 'Cherie', 'Squidgy']	___gate scandals	Brassiere brands 
['Daisy', 'Dewey', 'Donald', 'Louie']	Disney ducks	Mickey Mouse's nephews 
['Attica', 'Rikers', 'San Quentin', 'Marion']	US prisons	New York prisons 
['Biting', 'Crisp', 'Snell', 'Rimy']	Cold conditions	Snell's of the world 
['Thiem', 'Wurst', 'Doppler', 'Waltz']	Famous Austrians	Tennis players 
['Socrates', 'Leonardo', 'Didi', 'Cafu']	Brazilian international footballers	Famous footballers who played for AC Milan. 
['Wedge', 'Pump', 'Mule', 'Brogue']	Types of shoe	Types of shoes 
['The Fat', 'Rubber', 'Milkshake', 'Peking']	____ Duck	Ducking ducks 
['Grand Canyon', 'Keystone', 'Bluegrass', 'Silver']	Official nicknames of US states	States in the US
['Drive', 'The Great Beyond', 'Stand', 'Man on the Moon']	REM singles	Songs by The Killers 
['Ban', 'Piano', 'Hadid', 'Goldfinger']	Famous architects	James Bond villains 
['Platoon', 'Corps', 'Battery', 'Cohort']	Military units	Military units in the British Army 
['Sandman', 'Brightside', 'Vain', 'Bojangles']	"""Mr"" songs"	Songs by The Killers 
['Thinker', 'Gates of Hell', 'Martyr', 'Walking Man']	Rodin sculptures	Works by the same artist 
['Doctor', 'Hazel', 'Hunt', 'Craft']	Witch ___	"People who have a ""Dr"" in their name. "
['Ramsay', 'Banks', 'Burn', 'Brown']	Famous people called Gordon	People who have been in the news for their financial dealings. 
['Beano', 'Session', 'Binge', 'Bender']	Drinking sprees	Comic strips by the same author 
['Challenger', 'Langdon', 'Van Helsing', 'Frink']	Fictional professors	"Fictional characters in the ""Men in Black"" universe "
['Wink', 'Bomb', 'Squidger', 'Tiddlies']	Tiddlywinks terminology	Things that can be used to make a noise. 
['Mud', 'Blackberry', 'Rabbit', 'Eskimo']	Types of pie	Songs by The Beatles 
['Tangled', 'Mulan', 'Cinderella', 'Fantasia']	Disney animations	Disney films with a princess as the protagonist. 
['Brittany', 'Munsterlander', 'Italian spinone', 'Pointer']	Gun dogs	"Dog breeds with a ""t"" in their name. "
['Kim', 'Captains Courageous', 'If', 'Gunga Din']	Works by Rudyard Kipling	Films by John Ford 
['Level', 'Maroon', 'Sham', 'Heaven']	Bands without their numbers	The colour of the sky at sunset. 
['Graupel', 'Saturns rings', 'Cresta Run', 'Granita']	Made of ice	Ice formations on the surface of planets. 
['Bennett', 'Winter', 'Poll', 'Dean']	Premiership football referees	Former Labour Party leaders 
